id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
46596,CYAB,small_airport,Arctic Bay Airport,73.006101,-85.04616,72,NA,CA,CA-NU,Arctic Bay,yes,CYAB,YAB,CYAB,,,https://en.wikipedia.org/wiki/Arctic_Bay_Airport,CJX7
1652,CYAC,small_airport,Cat Lake Airport,51.7272,-91.824402,1344,NA,CA,CA-ON,Cat Lake,yes,CYAC,YAC,CYAC,,,https://en.wikipedia.org/wiki/Cat_Lake_Airport,
1653,CYAD,small_airport,La Grande-3 Airport,53.5717010498,-76.19640350339999,775,NA,CA,CA-QC,La Grande-3,no,CYAD,YAR,CYAD,YAD,,https://en.wikipedia.org/wiki/La_Grande-3_Airport,YAD
1654,CYAG,medium_airport,Fort Frances Municipal Airport,48.655749,-93.44349,1125,NA,CA,CA-ON,Fort Frances,yes,CYAG,YAG,CYAG,,,https://en.wikipedia.org/wiki/Fort_Frances_Municipal_Airport,
1655,CYAH,medium_airport,La Grande-4 Airport,53.754699707,-73.6753005981,1005,NA,CA,CA-QC,La Grande-4,no,CYAH,YAH,CYAH,,,https://en.wikipedia.org/wiki/La_Grande-4_Airport,YAH
1656,CYAL,small_airport,Alert Bay Airport,50.582199,-126.916,240,NA,CA,CA-BC,Alert Bay,yes,CYAL,YAL,CYAL,,,https://en.wikipedia.org/wiki/Alert_Bay_Airport,
1657,CYAM,medium_airport,Sault Ste Marie Airport,46.483216,-84.508467,630,NA,CA,CA-ON,Sault Ste Marie,yes,CYAM,YAM,CYAM,,http://www.saultairport.com/,https://en.wikipedia.org/wiki/Sault_Ste._Marie_Airport,
1658,CYAQ,medium_airport,Kasabonika Airport,53.52470016479492,-88.6427993774414,672,NA,CA,CA-ON,Kasabonika,yes,CYAQ,XKS,CYAQ,,,https://en.wikipedia.org/wiki/Kasabonika_Airport,YAQ
1659,CYAS,small_airport,Kangirsuk Airport,60.027199,-69.999199,403,NA,CA,CA-QC,Kangirsuk,yes,CYAS,YKG,CYAS,,,https://en.wikipedia.org/wiki/Kangirsuk_Airport,YAS
1660,CYAT,small_airport,Attawapiskat Airport,52.927502,-82.4319,31,NA,CA,CA-ON,Attawapiskat,yes,CYAT,YAT,CYAT,,,https://en.wikipedia.org/wiki/Attawapiskat_Airport,
1661,CYAU,small_airport,Liverpool South Shore Regional Airport,44.230301,-64.856102,321,NA,CA,CA-NS,Greenfield,no,CYAU,,CYAU,,https://southshoreflyingclub.weebly.com/,https://en.wikipedia.org/wiki/Liverpool/South_Shore_Regional_Airport,"YAU, Greenfield Dragway"
1662,CYAV,medium_airport,Winnipeg / St. Andrews Airport,50.0564,-97.032501,760,NA,CA,CA-MB,Winnipeg/Saint Andrews,yes,CYAV,,CYAV,,,https://en.wikipedia.org/wiki/Winnipeg/St._Andrews_Airport,YAV
1663,CYAW,heliport,CFB Shearwater Heliport,44.636782,-63.502107,144,NA,CA,CA-NS,Halifax,no,CYAW,,CYAW,YAW,,https://en.wikipedia.org/wiki/CFB_Shearwater,
1664,CYAX,medium_airport,Lac du Bonnet Airport,50.294399,-96.010002,850,NA,CA,CA-MB,Lac du Bonnet,yes,CYAX,,CYAX,,,https://en.wikipedia.org/wiki/Lac_du_Bonnet_Airport,YAX
1665,CYAY,medium_airport,St. Anthony Airport,51.391909,-56.08321,108,NA,CA,CA-NL,St. Anthony,yes,CYAY,YAY,CYAY,,,https://en.wikipedia.org/wiki/St._Anthony_Airport,
1666,CYAZ,medium_airport,Tofino / Long Beach Airport,49.079833,-125.775583,80,NA,CA,CA-BC,Tofino,yes,CYAZ,YAZ,CYAZ,,http://www.acrd.bc.ca/long-beach-airport,https://en.wikipedia.org/wiki/Tofino_Airport,
